FLU(0)SAN(0),ACG(1)FLA(1),PAL(2)CEA(3),CFC(3)GOI(0),CAM(2)INT(0),BOT(1)COR(3),SAO(4)CAP(0),AVA(1)AMG(0),JUV(2)BRA(2),FOR(0)CUI(1)
GOI(1)PAL(1),INT(2)FOR(1),FLA(3)SAO(1),COR(3)AVA(0),AMG(4)JUV(1),CUI(0)FLU(1),SAN(2)CFC(1),BRA(4)ACG(0),CAP(0)CAM(1),CEA(1)BOT(3)
PAL(3)COR(0),FLU(0)INT(1),CAP(1)FLA(0),BRA(1)SAO(1),CAM(2)CFC(2),SAN(3)AMG(0),JUV(0)CUI(1),ACG(1)BOT(1),AVA(3)GOI(2),FOR(0)CEA(1)
FLA(0)PAL(0),AMG(1)CAP(0),CEA(0)BRA(1),GOI(2)CAM(2),CUI(1)ACG(1),BOT(1)JUV(1),COR(1)FOR(0),CFC(3)FLU(2),INT(0)AVA(0),SAO(2)SAN(1)
PAL(1)FLU(1),JUV(1)INT(1),FLA(0)BOT(1),CAM(1)AMG(2),CAP(1)CEA(0),ACG(0)GOI(1),BRA(0)COR(1),SAN(4)CUI(1),FOR(1)SAO(1),AVA(2)CFC(1)
PAL(2)BRA(0),INT(2)COR(2),CEA(2)FLA(2),CAM(2)ACG(0),FLU(2)CAP(1),SAO(2)CUI(1),CFC(1)AMG(0),BOT(3)FOR(1),AVA(1)JUV(2),GOI(1)SAN(0)
JUV(0)PAL(3),CUI(1)INT(1),FLA(1)GOI(0),BRA(1)CAM(1),ACG(2)CFC(0),SAN(0)CEA(0),AMG(1)BOT(1),COR(1)SAO(1),FOR(0)FLU(1),CAP(2)AVA(1)
SAN(0)PAL(1),INT(1)ACG(1),FLU(1)FLA(2),GOI(1)BRA(1),SAO(2)CEA(2),FOR(1)JUV(1),CFC(1)BOT(0),COR(1)AMG(1),CUI(0)CAP(1),CAM(2)AVA(1)
PAL(0)CAM(0),BRA(0)INT(2),FLA(1)FOR(2),AMG(2)CUI(1),CEA(1)CFC(1),AVA(1)SAO(1),CAP(2)SAN(2),ACG(0)COR(1),JUV(1)FLU(0),BOT(1)GOI(2)
PAL(4)BOT(0),SAN(1)INT(1),BRA(1)FLA(0),CUI(1)COR(0),AMG(0)CEA(2),JUV(1)CAP(3),ACG(2)AVA(1),FLU(5)CAM(3),FOR(1)GOI(1),CFC(1)SAO(1)
CFC(0)PAL(2),INT(3)FLA(1),COR(2)JUV(0),CAM(1)SAN(1),FLU(0)ACG(2),CUI(1)BRA(1),SAO(1)AMG(0),GOI(1)CEA(1),FOR(0)CAP(0),BOT(0)AVA(1)
